product,price,link,years,kilometraje,_created,id,location_city,location_state
Fiat Strada 1.4 Trekking Doble Cabina,45000000,https://carro.mercadolibre.com.co/MCO-1436680659-fiat-strada-trekking-14-_JM#position=25&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2014,128200,2024-06-13,1436680659,Usaquén,Bogotá D.C.
Skoda Yeti 1.8 Ambition Mt 4x4,45000000,https://carro.mercadolibre.com.co/MCO-2445541500-skoda-yeti-18-ambition-mt-4x4-_JM#position=26&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2011,78600,2024-06-13,2445541500,Barrios Unidos,Bogotá D.C.
Dodge Journey 2.4 Se Fl,40000000,https://carro.mercadolibre.com.co/MCO-1436603039-dodge-journey-se-24-_JM#position=27&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2012,124198,2024-06-13,1436603039,Suba,Bogotá D.C.
Mini Cooper 2.0 F56 S Coupe Pepper,78000000,https://carro.mercadolibre.com.co/MCO-2445540778-mini-cooper-s-coupe-20-_JM#position=28&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2017,44000,2024-06-13,2445540778,Suba,Bogotá D.C.
Toyota Fortuner 2.7 Sw4,165000000,https://carro.mercadolibre.com.co/MCO-2445540700-toyota-fortuner-sw4-_JM#position=29&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2018,49500,2024-06-13,2445540700,Suba,Bogotá D.C.
Bmw Serie 2 220i  2.0 Coupe Sportline,71900000,https://carro.mercadolibre.com.co/MCO-1436689835-bmw-serie-2-220i-coupe-sportline-_JM#position=30&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2015,75500,2024-06-13,1436689835,Suba,Bogotá D.C.
Dodge Journey 2.4 Se Fl,67000000,https://carro.mercadolibre.com.co/MCO-1436651513-dodge-journey-24-se-2018-_JM#position=31&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2018,60450,2024-06-13,1436651513,Puente Aranda,Bogotá D.C.
Renault Logan 1.6,38000000,https://carro.mercadolibre.com.co/MCO-1436676999-renault-logan-life-mt-16-2019-_JM#position=32&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2019,43500,2024-06-13,1436676999,Usaquén,Bogotá D.C.
Porsche Cayenne 3.6 V6,92000000,https://carro.mercadolibre.com.co/MCO-1436625419-porsche-cayenne-v6-36-_JM#position=33&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2009,128024,2024-06-13,1436625419,Puente Aranda,Bogotá D.C.
Honda Pilot 3.5 Exl Blindaje 3 Papeles 2,75900000,https://carro.mercadolibre.com.co/MCO-1436650901-honda-pilot-exl-_JM#position=34&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2011,75000,2024-06-13,1436650901,Usaquén,Bogotá D.C.
Hyundai I20 1.4 Premium,49500000,https://carro.mercadolibre.com.co/MCO-1436612113-hyundai-i20-5dr-premium-14-_JM#position=35&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2018,79478,2024-06-13,1436612113,Kennedy,Bogotá D.C.
Chevrolet Onix 1.0 Premier Automática,72900000,https://carro.mercadolibre.com.co/MCO-1436611851-chevrolet-onix-10-premier-at-_JM#position=36&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2023,3050,2024-06-13,1436611851,Kennedy,Bogotá D.C.
Volkswagen Tiguan Allspace Highline 2.0 Tsi 4motion,80000000,https://carro.mercadolibre.com.co/MCO-1436599005-volkswagen-tiguan-allspace-highline-20-2018-_JM#position=37&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2018,34700,2024-06-13,1436599005,Usaquén,Bogotá D.C.
Renault Sandero 1.6 Authentique / Life,39000000,https://carro.mercadolibre.com.co/MCO-1436611733-renault-sandero-16-authentiquelife-2019-_JM#position=38&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2019,53900,2024-06-13,1436611733,Medellín,Antioquia
Mazda Cx-30 2.0 Touring,90000000,https://carro.mercadolibre.com.co/MCO-1436586355-mazda-cx-30-touring-20-_JM#position=39&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2022,27000,2024-06-13,1436586355,Kennedy,Bogotá D.C.
Renault Twingo 1.2 U Authentique,13500000,https://carro.mercadolibre.com.co/MCO-1436580195-renault-twingo-12-u-authentique-_JM#position=40&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2006,185000,2024-06-13,1436580195,Suba,Bogotá D.C.
Mazda Cx-30 2.0 Grand Touring At,99500000,https://carro.mercadolibre.com.co/MCO-1436584977-mazda-cx30-20-grand-touring-2021-_JM#position=41&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2021,66038,2024-06-13,1436584977,Kennedy,Bogotá D.C.
